"paymentId";"globalPaymentId";"globalRecipientId";"globalRecipientIdx";"globalSchemeId";"amountEuro";"amountNationalCurrency";"year";"countryPayment"
6869;"LU6869";"LU1219";"LU1219";"LU1";22566.43;;"2009";"LU"
6870;"LU6870";"LU1221";"LU1221";"LU1";21117.85;;"2009";"LU"
6871;"LU6871";"LU1225";"LU1225";"LU1";20341.65;;"2009";"LU"
6872;"LU6872";"LU1230";"LU1230";"LU1";25313.34;;"2009";"LU"
6873;"LU6873";"LU1229";"LU1229";"LU1";26338.72;;"2009";"LU"
6874;"LU6874";"LU1224";"LU1224";"LU1";25817.23;;"2009";"LU"
6875;"LU6875";"LU1231";"LU1231";"LU1";39455.80;;"2009";"LU"
6876;"LU6876";"LU1218";"LU1218";"LU1";23360.96;;"2009";"LU"
6877;"LU6877";"LU1226";"LU1226";"LU1";47403.48;;"2009";"LU"
6878;"LU6878";"LU1228";"LU1228";"LU1";45907.87;;"2009";"LU"
6879;"LU6879";"LU1215";"LU1215";"LU1";27597.25;;"2009";"LU"
6880;"LU6880";"LU1232";"LU1232";"LU1";30812.81;;"2009";"LU"
6881;"LU6881";"LU1227";"LU1227";"LU1";26875.95;;"2009";"LU"
6882;"LU6882";"LU1236";"LU1236";"LU1";93653.98;;"2009";"LU"
6883;"LU6883";"LU1223";"LU1223";"LU1";51706.44;;"2009";"LU"
6884;"LU6884";"LU1239";"LU1239";"LU1";11270.99;;"2009";"LU"
6885;"LU6885";"LU1241";"LU1241";"LU1";10667.06;;"2009";"LU"
6886;"LU6886";"LU1240";"LU1240";"LU1";17042.83;;"2009";"LU"
6887;"LU6887";"LU1238";"LU1238";"LU1";19625.24;;"2009";"LU"
6888;"LU6888";"LU1249";"LU1249";"LU1";399.58;;"2009";"LU"
6889;"LU6889";"LU1251";"LU1251";"LU1";3352.03;;"2009";"LU"
6890;"LU6890";"LU1257";"LU1257";"LU1";3881.45;;"2009";"LU"
6891;"LU6891";"LU1247";"LU1247";"LU1";5003.28;;"2009";"LU"
6892;"LU6892";"LU1243";"LU1243";"LU1";5523.20;;"2009";"LU"
6893;"LU6893";"LU2213";"LU2213";"LU1";13235.84;;"2009";"LU"
6894;"LU6894";"LU1244";"LU1244";"LU1";21797.14;;"2009";"LU"
6895;"LU6895";"LU1250";"LU1250";"LU1";21940.79;;"2009";"LU"
6896;"LU6896";"LU1245";"LU1245";"LU1";27901.00;;"2009";"LU"
6897;"LU6897";"LU2214";"LU2214";"LU1";3255.51;;"2009";"LU"
6898;"LU6898";"LU1253";"LU1253";"LU1";31408.94;;"2009";"LU"
6899;"LU6899";"LU1248";"LU1248";"LU1";26875.00;;"2009";"LU"
6900;"LU6900";"LU1246";"LU1246";"LU1";35022.13;;"2009";"LU"
6901;"LU6901";"LU1255";"LU1255";"LU1";21382.87;;"2009";"LU"
6902;"LU6902";"LU1254";"LU1254";"LU1";36022.50;;"2009";"LU"
6903;"LU6903";"LU1252";"LU1252";"LU1";64766.47;;"2009";"LU"
6904;"LU6904";"LU1260";"LU1260";"LU1";1905.07;;"2009";"LU"
6905;"LU6905";"LU1267";"LU1267";"LU1";2329.02;;"2009";"LU"
6906;"LU6906";"LU1263";"LU1263";"LU1";4683.96;;"2009";"LU"
6907;"LU6907";"LU1271";"LU1271";"LU1";3756.75;;"2009";"LU"
6908;"LU6908";"LU1268";"LU1268";"LU1";9280.91;;"2009";"LU"
6909;"LU6909";"LU1265";"LU1265";"LU1";6445.63;;"2009";"LU"
6910;"LU6910";"LU1270";"LU1270";"LU1";13714.84;;"2009";"LU"
6911;"LU6911";"LU1259";"LU1259";"LU1";18010.15;;"2009";"LU"
6912;"LU6912";"LU1262";"LU1262";"LU1";21152.91;;"2009";"LU"
6913;"LU6913";"LU1261";"LU1261";"LU1";24744.38;;"2009";"LU"
6914;"LU6914";"LU1264";"LU1264";"LU1";17425.72;;"2009";"LU"
6915;"LU6915";"LU1266";"LU1266";"LU1";26085.73;;"2009";"LU"
6916;"LU6916";"LU1269";"LU1269";"LU1";32548.99;;"2009";"LU"
6917;"LU6917";"LU1272";"LU1272";"LU1";20347.34;;"2009";"LU"
6918;"LU6918";"LU1258";"LU1258";"LU1";16141.24;;"2009";"LU"
6919;"LU6919";"LU2215";"LU2215";"LU1";-806.21;;"2009";"LU"
6920;"LU6920";"LU1287";"LU1287";"LU1";749.48;;"2009";"LU"
6921;"LU6921";"LU1315";"LU1315";"LU1";745.29;;"2009";"LU"
6922;"LU6922";"LU1282";"LU1282";"LU1";7.96;;"2009";"LU"
6923;"LU6923";"LU1280";"LU1280";"LU1";283.36;;"2009";"LU"
6924;"LU6924";"LU1283";"LU1283";"LU1";2548.01;;"2009";"LU"
6925;"LU6925";"LU1293";"LU1293";"LU1";484.25;;"2009";"LU"
6926;"LU6926";"LU1318";"LU1318";"LU1";3229.75;;"2009";"LU"
6927;"LU6927";"LU1295";"LU1295";"LU1";2504.86;;"2009";"LU"
6928;"LU6928";"LU1296";"LU1296";"LU1";2460.21;;"2009";"LU"
6929;"LU6929";"LU1285";"LU1285";"LU1";3493.41;;"2009";"LU"
6930;"LU6930";"LU1305";"LU1305";"LU1";822.24;;"2009";"LU"
6931;"LU6931";"LU1323";"LU1323";"LU1";5275.41;;"2009";"LU"
6932;"LU6932";"LU1313";"LU1313";"LU1";4622.66;;"2009";"LU"
6933;"LU6933";"LU1304";"LU1304";"LU1";5341.34;;"2009";"LU"
6934;"LU6934";"LU2216";"LU2216";"LU1";8374.82;;"2009";"LU"
6935;"LU6935";"LU1277";"LU1277";"LU1";6197.22;;"2009";"LU"
6936;"LU6936";"LU1298";"LU1298";"LU1";7566.39;;"2009";"LU"
6937;"LU6937";"LU1278";"LU1278";"LU1";7169.70;;"2009";"LU"
6938;"LU6938";"LU1302";"LU1302";"LU1";11546.15;;"2009";"LU"
6939;"LU6939";"LU1284";"LU1284";"LU1";11081.42;;"2009";"LU"
